Product Id,Product Name,Country,City,Sales,Profit
123,Computers,United States,Texas,18.032,10.8558
124,mobile phones,United States,Florida,13.0773,6.0858
125,luggage,USA,Chicago,39.582,9.1764
126,Getting a pet,USA,Florida,90.48,5.184
127,medicines ,United States,Washington,19.44,6.4128
128,Hairdresser,United Kingdom,,12.553,10.7301
129,Car repairs,UK,London,44.96,20.539
130,Cameras,United Kingdom,,375.34,33.93
131,Household furniture,Australia,Sydney,113.36,9.3312
132,Pet food,Australia,Melbourne,28.83,6.15
133,Clothing,AUS,Perth,43.997,20.6816
134,perfumes,Australia,Sydney,56.328,18.767
